"No.","Time","Source","Destination","Protocol","Length","Info"
"1172","1.635688","100.86.87.79","34.120.52.64","TCP","66","[TCP Dup ACK 1167#5] 58535  >  443 [ACK] Seq=3866 Ack=1949993 Win=132608 Len=0 SLE=1951405 SRE=1993765"
"1173","1.635701","100.86.87.79","34.120.52.64","TCP","66","[TCP Dup ACK 1167#6] 58535  >  443 [ACK] Seq=3866 Ack=1949993 Win=132608 Len=0 SLE=1951405 SRE=1995177"
"1174","1.638262","100.86.87.79","34.120.52.64","TLSv1.3","89","Application Data"
"1175","1.641031","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1176","1.641031","34.120.52.64","100.86.87.79","TLSv1.3","1466","[TCP Fast Retransmission] , Continuation Data"
"1177","1.641031","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1178","1.641031","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1179","1.641031","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1180","1.641031","34.120.52.64","100.86.87.79","TCP","1466","443  >  58535 [ACK] Seq=2000825 Ack=3866 Win=69888 Len=1412"
"1181","1.641031","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1182","1.641031","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1183","1.641119","100.86.87.79","34.120.52.64","TCP","66","[TCP Dup ACK 1167#7] 58535  >  443 [ACK] Seq=3901 Ack=1949993 Win=132608 Len=0 SLE=1951405 SRE=1996589"
"1184","1.641175","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3901 Ack=1996589 Win=132608 Len=0"
"1185","1.641225","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3901 Ack=2005061 Win=132608 Len=0"
"1186","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1187","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1188","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1189","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1190","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1191","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1192","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1193","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1194","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1195","1.646704","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1196","1.646895","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3901 Ack=2019181 Win=132608 Len=0"
"1197","1.650816","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1198","1.650816","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1199","1.650816","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1200","1.650816","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1201","1.650816","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1202","1.650816","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1203","1.650879","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3901 Ack=2027653 Win=132608 Len=0"
"1204","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1205","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1206","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1207","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1208","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1209","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1210","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1211","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1212","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1213","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1214","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1215","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1216","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1217","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1218","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1219","1.658909","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1220","1.659077","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3901 Ack=2050245 Win=132608 Len=0"
"1221","1.659315","100.86.87.79","34.120.52.64","TLSv1.3","93","Application Data"
"1222","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1223","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1224","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1225","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1226","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1227","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1228","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1229","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1230","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1231","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1232","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1233","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1234","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1235","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1236","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1237","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1238","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
