"No.","Time","Source","Destination","Protocol","Length","Info"
"5139","242.644790","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#139] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4333837 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5140","242.644822","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#140] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4335297 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5141","242.646231","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4335297 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5142","242.646231","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4336757 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5143","242.646316","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#141] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4336757 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5144","242.646364","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#142] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4338217 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5145","242.646571","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4338217 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5146","242.646571","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4339677 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5147","242.646608","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#143] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4339677 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5148","242.646635","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#144] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4341137 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5149","242.646986","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4341137 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5150","242.646986","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4342597 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5151","242.647056","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#145] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4342597 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5152","242.647107","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#146] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4344057 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5153","242.647307","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4344057 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5154","242.647307","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4345517 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5155","242.647358","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#147] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4345517 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5156","242.647390","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#148] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4346977 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5157","242.647562","23.12.147.175","100.86.111.80","TLSv1.3","871","Application Data, Application Data"
"5158","242.647562","23.12.147.175","100.86.111.80","TLSv1.3","1514","[TCP Fast Retransmission] , Application Data"
"5159","242.647601","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#149] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4347794 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5160","242.647681","100.86.111.80","23.12.147.175","TCP","82","64109  >  443 [ACK] Seq=17459 Ack=4155474 Win=262656 Len=0 SLE=4323617 SRE=4347794 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240"
