No.,Time,Source,Destination,Protocol,Length,Info,,label
2399,141.281841,100.86.186.37,157.240.229.35,UDP,608,64722  >  443 Len=566,,2
2400,141.302897,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2401,141.30991,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2402,141.317928,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2403,141.390961,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2404,141.391419,100.86.186.37,157.240.229.35,UDP,83,64722  >  443 Len=41,,2
2405,141.391567,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2406,141.391567,157.240.229.35,100.86.186.37,UDP,762,443  >  64722 Len=720,,2
2407,141.395767,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2408,141.435943,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2409,142.462059,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2410,142.462203,100.86.186.37,157.240.229.35,UDP,230,64722  >  443 Len=188,,2
2411,142.472014,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2412,142.484771,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2413,142.497321,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2414,142.554479,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2415,142.55553,100.86.186.37,157.240.229.35,UDP,83,64722  >  443 Len=41,,2
2416,142.587105,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2417,156.935145,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2418,156.93537,100.86.186.37,157.240.229.35,UDP,990,64722  >  443 Len=948,,2
2419,156.947021,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2420,156.955675,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2421,156.96184,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2422,157.052462,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2423,157.05264,100.86.186.37,157.240.229.35,UDP,230,64722  >  443 Len=188,,2
2424,157.062918,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2425,157.076356,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2426,157.080458,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2427,157.230589,157.240.229.35,100.86.186.37,UDP,477,443  >  64722 Len=435,,2
2428,157.231205,100.86.186.37,157.240.229.35,UDP,85,64722  >  443 Len=43,,2
2429,157.263852,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2430,157.472862,100.86.186.37,157.240.229.35,UDP,71,64722  >  443 Len=29,,2
2431,157.505658,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2432,157.557651,157.240.229.35,100.86.186.37,UDP,346,443  >  64722 Len=304,,2
2433,157.557651,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2434,157.557651,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2435,157.558148,100.86.186.37,157.240.229.35,UDP,83,64722  >  443 Len=41,,2
2436,157.558335,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2437,157.558335,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2438,157.562582,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2439,157.568126,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2440,157.56874,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2441,157.56874,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2442,157.569556,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2443,157.569556,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2444,157.571305,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2445,157.571583,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2446,157.571583,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2447,157.571874,100.86.186.37,157.240.229.35,UDP,76,64722  >  443 Len=34,,2
2448,157.572036,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2449,157.572036,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2450,157.574438,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2451,157.574783,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2452,157.574812,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2453,157.574812,157.240.229.35,100.86.186.37,UDP,634,443  >  64722 Len=592,,2
2454,157.575114,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2455,157.575171,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2456,157.589614,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2457,157.597251,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2458,157.606766,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2459,157.612886,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2460,157.613083,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2461,157.618873,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2462,157.655813,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2463,157.655813,157.240.229.35,100.86.186.37,UDP,218,443  >  64722 Len=176,,2
2464,157.668614,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2465,157.691869,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2466,157.692006,100.86.186.37,157.240.229.35,UDP,1199,64722  >  443 Len=1157,,2
2467,157.704244,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2468,157.704244,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2469,157.704244,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2470,157.704244,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2471,157.704244,157.240.229.35,100.86.186.37,UDP,1146,443  >  64722 Len=1104,,2
2472,157.704244,157.240.229.35,100.86.186.37,UDP,506,443  >  64722 Len=464,,2
2473,157.707743,157.240.229.35,100.86.186.37,UDP,442,443  >  64722 Len=400,,2
2474,157.710137,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2475,157.710152,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2476,157.7148,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2477,157.723547,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2478,157.727604,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2479,157.727751,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2480,157.732514,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2481,157.883693,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2482,157.883777,100.86.186.37,157.240.229.35,UDP,1265,64722  >  443 Len=1223,,2
2483,157.888701,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2484,157.888701,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2485,157.888701,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2486,157.888701,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2487,157.888701,157.240.229.35,100.86.186.37,UDP,858,443  >  64722 Len=816,,2
2488,157.89008,100.86.186.37,157.240.229.35,UDP,83,64722  >  443 Len=41,,2
2489,157.89587,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2490,157.91983,157.240.229.35,100.86.186.37,UDP,1269,443  >  64722 Len=1227,,2
2491,157.91983,157.240.229.35,100.86.186.37,UDP,1269,443  >  64722 Len=1227,,2
2492,157.91983,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2493,157.921526,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2494,157.92184,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2495,157.921925,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2496,157.922008,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2497,158.032902,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2498,158.032902,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2499,158.032902,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
