No.,Time,Source,Destination,Protocol,Length,Info,label
1481,118.073457,172.253.62.190,100.86.73.172,QUIC,65,Protected Payload (KP0),0
1482,118.073457,172.253.62.190,100.86.73.172,QUIC,97,Protected Payload (KP0),0
1483,118.07384,172.253.62.190,100.86.73.172,QUIC,65,Protected Payload (KP0),0
1484,118.073919,100.86.73.172,172.253.62.190,QUIC,81,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1485,118.074304,100.86.73.172,172.253.62.190,QUIC,81,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1486,118.079795,100.86.73.172,172.253.62.190,QUIC,75,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1487,118.087424,172.253.62.190,100.86.73.172,QUIC,68,Protected Payload (KP0),0
1488,120.79554,100.86.73.172,172.253.62.190,QUIC,1262,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1489,120.82623,172.253.62.190,100.86.73.172,QUIC,74,Protected Payload (KP0),0
1490,120.830333,100.86.73.172,172.253.62.190,QUIC,75,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1491,120.830667,172.253.62.190,100.86.73.172,QUIC,132,Protected Payload (KP0),0
1492,120.830859,100.86.73.172,172.253.62.190,QUIC,81,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1493,120.831535,172.253.62.190,100.86.73.172,QUIC,65,Protected Payload (KP0),0
1494,120.844305,172.253.62.190,100.86.73.172,QUIC,68,Protected Payload (KP0),0
1495,120.844609,100.86.73.172,172.253.62.190,QUIC,74,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1496,122.605432,100.86.73.172,172.253.62.190,QUIC,1285,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1497,122.605728,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1498,122.605917,100.86.73.172,172.253.62.190,QUIC,894,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1499,122.633719,172.253.62.190,100.86.73.172,QUIC,74,Protected Payload (KP0),0
1500,122.63694,172.253.62.190,100.86.73.172,QUIC,68,Protected Payload (KP0),0
1501,122.637419,100.86.73.172,172.253.62.190,QUIC,74,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1502,122.718808,172.253.62.190,100.86.73.172,QUIC,133,Protected Payload (KP0),0
1503,122.719178,100.86.73.172,172.253.62.190,QUIC,83,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1504,122.77867,172.253.62.190,100.86.73.172,QUIC,71,Protected Payload (KP0),0
1505,122.783033,100.86.73.172,172.253.62.190,QUIC,75,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1506,127.795543,100.86.73.172,172.253.62.190,QUIC,854,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1507,127.808846,172.253.62.190,100.86.73.172,QUIC,74,Protected Payload (KP0),0
1508,127.82537,100.86.73.172,172.253.62.190,QUIC,75,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1509,127.830921,172.253.62.190,100.86.73.172,QUIC,128,Protected Payload (KP0),0
1510,127.831179,100.86.73.172,172.253.62.190,QUIC,81,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1511,127.832807,172.253.62.190,100.86.73.172,QUIC,65,Protected Payload (KP0),0
1512,127.840963,100.86.73.172,172.253.62.190,QUIC,75,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1513,127.844292,172.253.62.190,100.86.73.172,QUIC,68,Protected Payload (KP0),0
1514,130.203829,100.86.73.172,172.253.62.190,QUIC,1285,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1515,130.203937,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1516,130.203982,100.86.73.172,172.253.62.190,QUIC,1072,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1517,130.218335,172.253.62.190,100.86.73.172,QUIC,74,Protected Payload (KP0),0
1518,130.222004,172.253.62.190,100.86.73.172,QUIC,68,Protected Payload (KP0),0
1519,130.222319,100.86.73.172,172.253.62.190,QUIC,74,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1520,130.437852,100.86.73.172,172.253.62.190,QUIC,71,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1521,130.454534,172.253.62.190,100.86.73.172,QUIC,68,Protected Payload (KP0),0
1522,130.591704,172.253.62.190,100.86.73.172,QUIC,1287,Protected Payload (KP0),0
1523,130.591704,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1524,130.591704,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1525,130.592497,100.86.73.172,172.253.62.190,QUIC,81,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1526,130.596083,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1527,130.596083,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1528,130.596083,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1529,130.596083,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1530,130.596083,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1531,130.596083,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1532,130.596083,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1533,130.596083,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1534,130.596083,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1535,130.596083,172.253.62.190,100.86.73.172,QUIC,869,Protected Payload (KP0),0
